Location,Duck score
A1,4
A10,3
A11,5
A12,5
A13,4
A14,5
A15,3
A16,7
A17,4
A18,4
A19,2
A2,5
A20,2
A21,4
A22,5
A23,4
A24,4
A25,4
A26,5
A27,5
A28,2
A29,5
A3,4
A30,5
A31,5
A32,3
A33,4
A34,4
A35,4
A36,5
A37,3
A38,4
A39,5
A4,3
A40,4
A41,7
A42,7
A43,5
A44,5
A45,7
A46,3
A47,5
A48,4
A49,5
A5,5
A50,5
A6,3
A7,2
A8,4
A9,3
B1,3
B10,5
B11,6
B12,4
B13,4
B14,5
B15,5
B16,3
B17,2
B18,3
B19,2
B2,5
B20,4
B21,3
B22,5
B23,2
B24,5
B25,5
B26,3
B27,3
B28,4
B29,3
B3,4
B30,2
B31,3
B32,5
B33,4
B34,3
B35,5
B36,5
B37,6
B38,4
B39,4
B4,5
B40,4
B41,4
B42,4
B43,4
B44,5
B45,7
B46,4
B47,2
B48,4
B49,7
B5,4
B50,5
B6,5
B7,4
B8,6
B9,3
C1,5
C10,4
C11,4
C12,5
C13,4
C14,4
C15,5
C16,4
C17,3
C18,4
C19,4
C2,7
C20,5
C21,5
C22,3
C23,5
C24,5
C25,5
C26,5
C27,5
C28,5
C29,5
C3,4
C30,2
C31,5
C32,4
C33,7
C34,6
C35,5
C36,5
C37,2
C38,5
C39,4
C4,1
C40,3
C41,5
C42,5
C43,3
C44,5
C45,4
C46,4
C47,2
C48,4
C49,3
C5,5
C50,4
C6,4
C7,5
C8,5
C9,5
D1,4
D10,5
D11,4
D12,4
D13,5
D14,5
D15,5
D16,3
D17,5
D18,5
D19,5
D2,5
D20,5
D21,4
D22,3
D23,5
D24,4
D25,4
D26,4
D27,3
D28,4
D29,5
D3,5
D30,2
D31,2
D32,5
D33,4
D34,6
D35,2
D36,5
D37,3
D38,4
D39,5
D4,4
D40,5
D41,5
D42,4
D43,5
D44,5
D45,4
D46,6
D47,5
D48,5
D49,5
D5,4
D50,4
D6,4
D7,6
D8,6
D9,4
E1,3
E10,2
E11,5
E12,5
E13,4
E14,4
E15,2
E16,5
E17,5
E18,3
E19,4
E2,7
E20,3
E21,5
E22,5
E23,7
E24,4
E25,4
E26,2
E27,4
E28,3
E29,4
E3,4
E30,5
E31,3
E32,5
E33,7
E34,5
E35,5
E36,4
E37,5
E38,4
E39,5
E4,7
E40,5
E41,5
E42,5
E43,3
E44,5
E45,5
E46,3
E47,4
E48,5
E49,7
E5,5
E50,2
E6,4
E7,5
E8,3
E9,5
F1,3
F10,5
F11,4
F12,5
F13,5
F14,7
F15,5
F16,5
F17,5
F18,7
F19,5
F2,7
F20,5
F21,5
F22,2
F23,5
F24,4
F25,5
F26,3
F27,5
F28,6
F29,3
F3,5
F30,5
F31,3
F32,3
F33,3
F34,5
F35,5
F36,7
F37,4
F38,2
F39,5
F4,4
F40,3
F41,5
F42,4
F43,2
F44,2
F45,5
F46,5
F47,2
F48,5
F49,4
F5,2
F50,4
F6,5
F7,7
F8,5
F9,7
G1,5
G10,4
G11,4
G12,2
G13,5
G14,3
G15,5
G16,4
G17,5
G18,7
G19,5
G2,5
G20,4
G21,4
G22,4
G23,4
G24,3
G25,4
G26,6
G27,4
G28,3
G29,5
G3,4
G30,2
