Location,WeatherScore
A1,8.85
A2,9.7
A3,8.140132350070317
A4,6.3
A5,9.0
A6,8.9
A7,9.0
A8,6.6
A9,6.5
A10,6.5
A11,9.1
A12,8.342173733062788
A13,8.178611687042045
A14,9.1
A15,8.65
A16,6.3
A17,6.6
A18,9.0
A19,8.110881008174905
A20,6.6
A21,9.459999999999999
A22,6.6
A23,9.34
A24,9.209999999999999
A25,8.186263205071787
A26,6.3
A27,9.0
A28,6.35
A29,8.515493909341188
A30,9.4
A31,6.5
A32,6.3
A33,8.6
A34,6.6
A35,9.1
A36,9.1
A37,9.4
A38,8.9
A39,8.195889201402215
A40,9.2
A41,9.34
A42,6.3
A43,9.1
A44,6.2
A45,8.100476744181984
A46,8.24990361884384
A47,6.5
A48,9.1
A49,9.7
A50,9.34
B1,9.76
B2,9.0
B3,9.0
B4,6.6
B5,7.968234252720698
B6,9.76
B7,6.6
B8,6.0
B9,8.75
B10,9.0
B11,9.7
B12,6.2
B13,6.5
B14,8.033949942080472
B15,6.3
B16,8.9
B17,6.5
B18,9.0
B19,9.5
B20,8.023669193455884
B21,9.76
B22,6.6
B23,6.35
B24,8.440919049109496
B25,8.015490124546098
B26,8.06625011356335
B27,8.057165247205116
B28,9.0
B29,9.0
B30,6.0
B31,9.4
B32,8.125163117526647
B33,9.51
B34,8.75
B35,8.127121311976037
B36,9.64
B37,7.777076242497435
B38,7.976410541130029
B39,8.9
B40,8.9
B41,9.0
B42,8.390053855491377
B43,9.1
B44,8.9
B45,9.7
B46,8.507104955972517
B47,8.9
B48,6.3
B49,9.0
B50,9.1
C1,6.6
C2,6.6
C3,6.3
C4,6.25
C5,8.6
C6,6.35
C7,8.9
C8,9.1
C9,8.9
C10,6.35
C11,8.057849421217377
C12,6.6
C13,8.25429834621839
C14,7.844021186075958
C15,9.1
C16,6.3
C17,6.5
C18,9.76
C19,7.993297093073487
C20,6.3
C21,8.319021358200823
C22,8.44816069804894
C23,6.6
C24,9.1
C25,8.9
C26,9.1
C27,6.35
C28,9.7
C29,6.3
C30,8.092848225151092
C31,9.7
C32,8.251116100139683
C33,8.02634279957567
C34,8.55
C35,7.834153946295056
C36,8.363718094844955
C37,8.65
C38,9.8
C39,6.2
C40,8.75
C41,8.6
C42,7.9316532236083805
C43,9.0
C44,9.0
C45,6.3
C46,6.1
C47,9.0
C48,9.5
C49,8.9
C50,6.6
D1,9.1
D2,9.0
D3,6.3
D4,6.3
D5,9.459999999999999
D6,8.75
D7,6.05
D8,6.6
D9,6.5
D10,9.8
D11,6.5
D12,9.8
D13,9.4
D14,6.6
D15,9.0
D16,9.4
D17,6.5
D18,9.0
D19,6.5
D20,9.14
D21,9.0
D22,9.4
D23,6.5
D24,6.6
D25,6.3
D26,6.25
D27,8.9
D28,8.011621096343005
D29,6.5
D30,6.3
D31,9.209999999999999
D32,6.35
D33,8.220395188447766
D34,8.451021710082145
D35,9.5
D36,8.7
D37,6.5
D38,8.65
D39,6.3
D40,6.3
D41,7.943410841929105
D42,7.981707535591442
D43,8.65
D44,8.022397902353864
D45,9.5
D46,6.6
D47,9.25
D48,9.8
D49,9.51
D50,9.64
E1,9.64
E2,9.1
E3,9.459999999999999
E4,9.7
E5,6.3
E6,9.64
E7,6.3
E8,6.6
E9,9.1
E10,8.156656275379412
E11,8.9
E12,6.35
E13,6.0
E14,8.9
E15,6.6
E16,6.3
E17,6.6
E18,8.85
E19,6.3
E20,6.05
E21,6.6
E22,8.75
E23,9.459999999999999
E24,9.34
E25,8.6
E26,6.05
E27,7.964487481141502
E28,8.9
E29,8.380594780388993
E30,9.39
E31,8.449676315704897
E32,8.9
E33,9.1
E34,8.6
E35,9.8
E36,6.6
E37,9.7
E38,9.8
E39,6.5
E40,7.995653854962943
E41,8.65
E42,7.860595278157175
E43,8.179900477983814
E44,8.51799827817307
E45,9.51
E46,8.9
E47,8.9
E48,9.1
E49,7.814711561382251
E50,8.072964161572004
F1,9.39
F2,8.75
F3,8.04098563692072
F4,6.5
F5,6.5
F6,9.51
F7,9.5
F8,9.0
F9,9.8
F10,8.328816197927072
F11,6.6
F12,8.75
F13,7.723596126544709
F14,6.5
F15,6.3
F16,8.16831005023076
F17,6.3
F18,9.5
F19,9.459999999999999
F20,7.8835817521132885
F21,8.9
F22,6.3
F23,9.0
F24,6.3
F25,9.7
F26,9.1
F27,6.6
F28,8.312331175958345
F29,6.35
F30,8.194112117013919
F31,6.6
F32,6.3
F33,9.5
F34,6.6
F35,6.3
F36,8.9
F37,6.25
F38,9.7
F39,8.8
F40,9.0
F41,9.7
F42,9.39
F43,6.3
F44,8.8
F45,9.05
F46,7.987433976454058
F47,6.05
F48,9.0
F49,6.5
F50,9.1
G1,8.542913826338898
G2,8.401128909674194
G3,8.45
G4,9.4
G5,8.324390588899512
G6,9.0
G7,9.8
G8,6.6
G9,9.459999999999999
G10,8.103923211053397
G11,8.75
G12,9.1
G13,8.499975365386913
G14,8.222191393584055
G15,8.9
G16,9.1
G17,9.0
G18,9.0
G19,6.5
G20,6.3
G21,8.65
G22,6.6
G23,9.64
G24,9.3
G25,7.962170216775284
G26,6.5
G27,6.3
G28,9.25
G29,9.0
G30,6.0
G31,6.5
G32,6.6
G33,8.531844982853746
G34,8.7
G35,8.9
G36,8.8
G37,9.1
G38,6.5
G39,8.136333665969872
G40,9.1
G41,6.2
G42,9.7
G43,8.9
G44,8.9
G45,8.099566133355008
G46,9.0
G47,9.64
G48,9.0
G49,8.411070161185071
G50,7.962296412985746
H1,8.082541282678482
H2,6.6
H3,6.3
H4,7.81751250589047
H5,6.6
H6,6.5
H7,6.6
H8,8.268366674020651
H9,9.459999999999999
H10,8.199258935689391
H11,6.25
H12,9.34
H13,8.098114556696984
H14,8.8
H15,6.6
H16,6.5
H17,9.76
H18,6.5
H19,6.3
H20,6.3
H21,5.8
H22,8.85
H23,9.2
H24,6.3
H25,8.26979410756698
H26,7.8784370234891155
H27,8.24978239011029
H28,9.459999999999999
H29,9.1
H30,8.000964617294926
H31,8.9
H32,6.5
H33,9.64
H34,8.9
H35,9.64
H36,7.933349201059807
H37,9.0
H38,6.3
H39,8.84
H40,6.5
H41,9.1
H42,8.364422464824338
H43,9.15
H44,6.2
H45,6.35
H46,6.6
H47,6.5
H48,8.9
H49,6.2
H50,9.7
I1,8.8
I2,6.5
I3,9.8
I4,9.34
I5,6.3
I6,8.161689046917479
I7,9.76
I8,9.7
I9,9.1
I10,9.1
I11,5.75
I12,9.51
I13,6.5
I14,8.314458129648676
I15,9.0
I16,8.471292247080408
I17,9.1
I18,9.1
I19,9.5
I20,8.8
I21,9.0
I22,9.0
I23,8.212065171703136
I24,8.217798900799073
I25,9.1
I26,8.415751359577541
I27,8.9
I28,6.5
I29,8.308534253811992
I30,8.00335809923579
I31,8.85
I32,6.05
I33,6.35
I34,9.45
I35,9.25
I36,8.9
I37,6.6
I38,9.55
I39,9.4
I40,6.3
I41,7.815522240291051
I42,8.25080526833946
I43,9.64
I44,6.5
I45,6.6
I46,8.75
I47,8.484074048817051
I48,8.174104988682963
I49,8.448819199925982
I50,6.6
J1,8.518785247186505
J2,9.55
J3,6.3
J4,9.8
J5,6.5
J6,6.5
J7,8.6
J8,9.4
J9,9.1
J10,6.5
J11,8.278061693746384
J12,8.412148857654662
J13,9.7
J14,6.5
J15,6.05
J16,8.140589910543945
J17,6.3
J18,8.9
J19,6.5
J20,9.4
J21,7.872768843775512
J22,9.1
J23,6.5
