UNIXTimestamp,Location,LocationKoppenGeigerClassification,AirTemperatureCelsius,AirPressure_hPa,WindSpeed_kmh,WindDirection_deg,Humidity_percent,CloudCoverage_percent,Precipitation_mm,Seismische Activiteit,UV index,Terrein,Ondergrond,Uitbarsting gemeten,Giftigheid vrijgekomen stoffen
1672524000,A1,Af,27.223700172149556,1008.6841150173099,12.556845269331983,88.02918562138419,94.03487922691527,72.10463768074578,5.833971711784848,"(1, 1)",2,Heuvels,Zand,0,0.0
1678572000,A1,Af,32.834963976991155,1017.4851228321505,14.24965239030793,111.91473761023441,102.2439349590239,96.73180487707171,4.20990023206487,"(1, 4)",1,Heuvels,Zand,0,0.0
1684616400,A1,Af,31.125505219828916,1016.0726796998075,6.09081278987921,260.85669414119303,87.12947952342842,51.38843857028527,4.907720627993353,"(1, 3)",1,Heuvels,Zand,1,0.7563674884048317
1690664400,A1,Af,28.732913757536615,1000.2753062610858,12.336801420691792,23.742345292002895,98.99081262871123,86.97243788613366,1.7520763311459164,"(10, 10)",5,Heuvels,Zand,0,0.0
1696712400,A1,Af,26.508322183226603,1026.7188594229779,10.48995163411647,66.1187256542579,95.8397416671202,77.51922500136057,1.0733412567650225,"(1, 1)",1,Heuvels,Zand,1,0.5804019346353413
1702764000,A1,Af,22.805455408240608,1007.4031334400148,10.329531201516293,269.9080566057416,94.99382575646786,74.98147726940358,4.299648444394212,"(1, 2)",1,Heuvels,Zand,0,0.0
1672524000,A2,Csc,13.673464636834309,1018.2347934428045,10.583564690775988,160.2534055165601,75.69445866952168,62.777834678086734,0.9543428777587254,"(1, 4)",1,Bergen,Zand,0,0.0
1678572000,A2,Csc,24.119728353125947,1019.4203636807844,18.139785039736623,321.5812698208235,78.84621333769248,75.38485335076992,1.9689417246026357,"(3, 3)",1,Bergen,Zand,0,0.0
1684616400,A2,Csc,12.375002609630815,1010.4046840681373,19.090499525090635,162.18397983351292,79.34528125596196,77.38112502384784,3.1731272144634826,"(1, 2)",3,Bergen,Zand,0,0.0
1690664400,A2,Csc,-0.9624497336454523,1020.6745805941893,9.867811847071295,182.48875793257417,74.28783112497688,57.151324499907524,6.503807427236415,"(1, 1)",1,Bergen,Zand,0,0.0
1696712400,A2,Csc,0.8975816172653737,1026.9764492292923,16.33830154104649,208.9213698228812,76.58508053178662,66.34032212714645,7.383835570209936,"(5, 8)",1,Bergen,Zand,1,0.3464679383581404
1702764000,A2,Csc,14.093286983615034,1005.0045277159952,11.39274399413257,231.34326817676595,65.94691966910062,23.787678676402514,0.5053892085478799,"(1, 2)",1,Bergen,Zand,0,0.0
1672524000,A3,Af,29.433609594822684,1025.0862421994725,23.813643956918703,74.00825278531667,99.16672078952688,87.50016236858065,7.752407918297935,"(1, 3)",1,Moerassen,Klei,0,0.0
1678572000,A3,Af,31.07483559080131,1013.9719278390368,14.50572259399866,227.18058879906667,94.01130353170659,72.03391059511975,5.765803239809349,"(1, 1)",13,Moerassen,Klei,0,0.0
1684616400,A3,Af,36.2187690052754,1008.7152812171008,20.248633928862446,99.62577905227951,98.79351801692675,86.38055405078026,3.1364223105638165,"(1, 1)",4,Moerassen,Klei,0,0.0
1690664400,A3,Af,24.72324969220451,1024.8530418198652,8.052940044394568,137.7117205120789,101.303644978318,93.91093493495401,5.904262053176327,"(4, 5)",4,Moerassen,Klei,0,0.0
1696712400,A3,Af,25.298481682955348,1016.6053581905483,20.3772659436586,20.52691187004497,98.16062180637859,84.48186541913574,7.0384750966052945,"(10, 5)",3,Moerassen,Klei,0,0.0
1702764000,A3,Af,23.407352189492414,1003.4994648200139,19.000622179072053,221.9070013121997,93.97246714102522,71.91740142307566,7.047594643177126,"(3, 5)",4,Moerassen,Klei,0,0.0
1672524000,A4,Dfb,-10.344819194784618,1024.034278315822,19.115882061088875,137.84267055745113,50.02172910285398,50.10864551426991,3.3549213963970286,"(1, 1)",3,Woestijnen,Leem,0,0.0
1678572000,A4,Dfb,1.3514504485006018,1027.9264997236312,13.668604026323852,30.94334412291112,46.78286391006609,33.91431955033046,1.6980964230833766,"(1, 2)",1,Woestijnen,Leem,0,0.0
1684616400,A4,Dfb,1.468082470199029,1018.8644235435214,5.128227478314988,353.5523692818191,53.19148238236121,65.95741191180605,0.7785306102678389,"(1, 1)",5,Woestijnen,Leem,1,0.7948709008674004
1690664400,A4,Dfb,-29.321251558312873,1006.3157506850406,16.334908208376664,62.53039628029911,47.94655866325835,39.73279331629177,2.91068597703766,"(10, 10)",4,Woestijnen,Leem,1,0.34660367166493344
1696712400,A4,Dfb,-20.990797874794133,1012.4165819398684,19.14670898620388,68.19807914013242,49.807128422704395,49.035642113521966,2.9194831384091047,"(1, 1)",5,Woestijnen,Leem,0,0.0
1702764000,A4,Dfb,-8.731239992351345,1029.2371129072365,18.68463680342296,274.7016748473055,49.85401759019979,49.270087950998935,2.2397376210760243,"(10, 11)",2,Woestijnen,Leem,0,0.0
1672524000,A5,Csb,7.436749885131877,1029.0905520234646,5.038446749917911,149.41867547100247,70.88873137308013,43.554925492320564,4.916615520538993,"(6, 7)",4,Toendra,Klei,0,0.0
1678572000,A5,Csb,17.63424402986997,1026.1532387012317,8.253161485181224,23.105568317786798,69.61472721101633,38.45890884406532,2.236621895856387,"(1, 2)",13,Toendra,Klei,1,0.6698735405927511
1684616400,A5,Csb,14.359644909480757,1005.2008005272426,7.658842624709134,129.57549114909546,68.36025083765398,33.441003350615944,2.7178819169189,"(1, 1)",1,Toendra,Klei,0,0.0
1690664400,A5,Csb,0.5982995845839474,1021.9557484280132,23.8126155202582,299.4087668867496,68.37095187034467,33.483807481378676,0.36628824573918517,"(2, 3)",1,Toendra,Klei,0,0.0
1696712400,A5,Csb,-5.635684467973153,1028.8464392656085,12.208816003363257,164.37823155244408,70.97790723503452,43.91162894013811,4.688654080945399,"(5, 6)",3,Toendra,Klei,1,0.5116473598654697
1702764000,A5,Csb,11.276041161354659,1016.6290744265297,11.931904600252288,13.922174955240333,70.01426992675097,40.05707970700386,1.6353082225771434,"(3, 2)",1,Toendra,Klei,0,0.0
1672524000,A6,Cfa,15.591259971428082,1000.7218592712991,20.083628251683045,234.6034892670104,70.91332990716232,43.65331962864929,1.7548346835058246,"(1, 1)",1,Moerassen,Klei,1,0.1966548699326782
1678572000,A6,Cfa,20.50979118064958,1004.1507917626694,8.689311585070387,205.61291699082193,78.92634629747837,75.70538518991347,1.9448463693684004,"(1, 1)",1,Moerassen,Klei,1,0.6524275365971846
1684616400,A6,Cfa,29.946015643320404,1022.6231491098778,8.164565078106271,51.547931061139195,66.16795460567259,24.67181842269039,0.020177955049662705,"(1, 1)",1,Moerassen,Klei,1,0.6734173968757492
1690664400,A6,Cfa,-4.543860790700863,1028.9603339549074,17.22491644465958,101.74271542989419,74.77239033216806,59.08956132867223,1.0104032071371458,"(1, 1)",2,Moerassen,Klei,0,0.0
1696712400,A6,Cfa,2.1302014372796414,1028.63792912127,22.700979436766396,71.96096431042103,65.26432898479047,21.057315939161867,0.8718716573692189,"(7, 9)",8,Moerassen,Klei,1,0.09196082252934418
1702764000,A6,Cfa,-0.6676065443433794,1005.3886541958658,5.268129764282623,76.58000400557832,65.62422363721439,22.49689454885752,2.051638005648653,"(1, 1)",3,Moerassen,Klei,0,0.0
1672524000,A7,Csc,18.62936628477531,1013.8758617406125,15.13993875018943,347.59023218814525,76.1685149284075,64.67405971363002,2.844009299577718,"(5, 4)",10,Toendra,Basalt,0,0.0
1678572000,A7,Csc,33.89320635870405,1003.0047578792942,9.319095880212792,69.18887491117037,71.2993960199573,45.1975840798292,0.733694399907001,"(1, 1)",1,Toendra,Basalt,1,0.6272361647914884
1684616400,A7,Csc,25.014296347237384,999.2601684268329,5.879436960642208,175.92630151205518,77.90591938778792,71.62367755115164,6.390732876094993,"(1, 1)",11,Toendra,Basalt,0,0.0
1690664400,A7,Csc,3.4722360461530384,1021.1638354400969,18.75176098008907,242.8743727776545,66.91617959718516,27.66471838874064,1.1320869022687978,"(1, 1)",1,Toendra,Basalt,0,0.0
1696712400,A7,Csc,0.7645538722862426,1029.9465376975493,13.65342836627692,1.1438402532951564,76.88822159880347,67.55288639521386,7.364883696084099,"(3, 5)",12,Toendra,Basalt,0,0.0
1702764000,A7,Csc,5.580194345699582,1020.0551801683677,12.450335077593415,94.77632416530624,74.07751195829499,56.31004783317994,6.490209674268517,"(1, 1)",10,Toendra,Basalt,1,0.5019865968962633
1672524000,A8,ET,-5.124816382871471,1024.4701700747282,5.316744337830563,227.1448278359281,48.3807262058962,41.90363102948101,2.417348175869968,"(1, 1)",2,Heuvels,Kalksteen,0,0.0
1678572000,A8,ET,1.4094894850075228,1019.504123331008,15.116498076437486,325.1791311550972,51.85073349802812,59.25366749014058,3.9368360450705997,"(1, 2)",13,Heuvels,Kalksteen,0,0.0
