Location,UNIXTimestamp,AirTemperatureCelsius,AirPressure_hPa,WindSpeed_kmh,WindDirection_deg,Humidity_percent,CloudCoverage_percent,Precipitation_mm,UV index,Uitbarsting gemeten,Giftigheid vrijgekomen stoffen,LocationKoppenGeigerClassification,Seismische Activiteit,Terrein,Ondergrond
A1,1687944253.8461537,28.304176374922253,1014.5924907827144,14.910460576511667,204.63371763711638,94.98970815818802,74.96912447456408,3.8639647897479965,3.6538461538461537,0.19230769230769232,0.08036126804129752,Af,"(1, 1)",Steppes,Graniet
A2,1687944253.8461537,10.578525775231496,1014.3793646814922,15.385599916898274,198.32496162982142,72.15636007659695,48.62544030638781,2.912692605140719,2.5384615384615383,0.2692307692307692,0.08655637051654247,Csb,"(1, 1)",Tropisch regenwoud,Klei
A3,1687944253.8461537,9.04603213468404,1014.0731937279747,16.08597471129877,175.70252510359927,72.66188517186,50.64754068744,3.044190651406374,3.1346153846153846,0.09615384615384616,0.017177823357162145,Csc,"(1, 1)",Moerassen,Basalt
A4,1687944253.8461537,-13.361263538914617,1015.1787207488441,15.623024138852553,188.34257817154406,48.81234997395226,44.06174986976129,1.76888258550136,3.8846153846153846,0.19230769230769232,0.058872721390855226,ET,"(1, 1)",Savanne,Zand
A5,1687944253.8461537,28.545479584012018,1015.2140511675475,15.263286816494109,164.166368845229,95.88646872217882,77.65940616653644,4.010105380839246,3.326923076923077,0.19230769230769232,0.06135426006757648,Am,"(8, 8)",Vlaktes,Zand
A6,1687944253.8461537,27.827688792490612,1013.4494502982245,13.303740350250576,183.72424797166542,94.3167718595304,72.95031557859123,3.830871463172382,3.826923076923077,0.17307692307692307,0.08260632344296341,Aw,"(1, 1)",Heuvels,Kalksteen
A7,1687944253.8461537,28.326223770560436,1013.5714042039837,14.86728367572576,184.00078396106608,95.30485983833611,75.91457951500833,3.6301704671279618,3.8076923076923075,0.25,0.0862992288059541,Am,"(1, 1)",Woestijnen,Graniet
A8,1687944253.8461537,-12.93922503233509,1017.2493370714093,16.223106759438835,166.50450255799558,49.01680800480854,45.08404002404271,2.041805928054079,2.076923076923077,0.15384615384615385,0.049114065603774154,Dfb,"(3, 1)",Steppes,Silt
A9,1687944253.8461537,-12.985704856295563,1016.0459265846542,15.482707657915,191.98585821464343,47.827884406625316,39.13942203312661,1.6654383980046599,3.1923076923076925,0.11538461538461539,0.03223800799096,Dfc,"(1, 1)",Steppes,Klei
A10,1687944253.8461537,-12.115683246256298,1015.5298786165537,14.164594143374474,176.5105312798394,48.37969936386077,41.89849681930387,1.8266661667002981,3.423076923076923,0.25,0.12778365331864205,Dfc,"(1, 1)",Steppes,Zand
