Location,Value
A1,46
A2,50
A3,50
A4,106
A5,46
A6,94
A7,108
A8,27
A9,26
A10,59
A11,19
A12,82
A13,97
A14,63
A15,41
A16,110
A17,92
A18,97
A19,82
A20,22
A21,69
A22,40
A23,82
A24,24
A25,71
A26,54
A27,19
A28,24
A29,86
A30,120
A31,59
A32,14
A33,115
A34,120
A35,111
A36,107
A37,90
A38,47
A39,47
A40,92
A41,63
A42,102
A43,20
A44,101
A45,15
A46,21
A47,102
A48,75
A49,103
A50,107
B1,105
B2,11
B3,87
B4,75
B5,40
B6,32
B7,73
B8,105
B9,118
B10,49
B11,85
B12,78
B13,64
B14,94
B15,34
B16,110
B17,67
B18,106
B19,112
B20,48
B21,92
B22,92
B23,63
B24,101
B25,74
B26,29
B27,83
B28,37
B29,60
B30,11
B31,26
B32,99
B33,96
B34,63
B35,37
B36,99
B37,66
B38,29
B39,56
B40,94
B41,92
B42,99
B43,56
B44,110
B45,113
B46,72
B47,64
B48,55
B49,116
B50,56
C1,41
C2,20
C3,82
C4,42
C5,24
C6,87
C7,82
C8,21
C9,76
C10,35
C11,19
C12,14
C13,60
C14,19
C15,46
C16,114
C17,63
C18,53
C19,22
C20,14
C21,22
C22,53
C23,63
C24,68
C25,26
C26,50
C27,50
C28,67
C29,57
C30,65
C31,21
C32,44
C33,82
C34,11
C35,66
C36,60
C37,25
C38,95
C39,72
C40,53
C41,89
C42,84
C43,80
C44,35
C45,100
C46,71
C47,36
C48,50
C49,94
C50,94
D1,40
D2,46
D3,75
D4,76
D5,43
D6,57
D7,38
D8,54
D9,34
D10,13
D11,119
D12,73
D13,104
D14,19
D15,46
D16,47
D17,76
D18,69
D19,29
D20,26
D21,35
D22,44
D23,15
D24,68
D25,22
D26,22
D27,91
D28,72
D29,16
D30,70
D31,70
D32,36
D33,23
D34,95
D35,84
D36,115
D37,64
D38,17
D39,22
D40,101
D41,74
D42,78
D43,11
D44,60
D45,36
D46,22
D47,73
D48,32
D49,65
D50,114
E1,28
E2,110
E3,56
E4,84
E5,33
E6,84
E7,100
E8,31
E9,14
E10,25
E11,41
E12,106
E13,120
E14,61
E15,98
E16,36
E17,12
E18,30
E19,104
E20,29
E21,117
E22,62
E23,115
E24,100
E25,13
E26,94
